Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1
0.0,0.0,2.59867,0.30973908
0.0,0.0,2.6186857,0.40031123
0.0,0.0,2.6632535,0.8913565
0.0,0.0,2.737668,1.48829
0.0,0.0,2.833135,1.9093361
0.0,0.0,2.9302964,1.9432318
0.0,0.0,3.0348282,2.0906382
0.0,0.0,3.1325657,1.9547491
0.0,0.0,-3.0567737,1.8769164
0.0,0.0,-2.9529912,2.0756485
0.0,0.0,-2.8435404,2.1890178
0.0,0.0,-2.7516167,1.8384758
0.0,0.0,-2.67876,1.4571297
0.0,0.0,-2.6196404,1.1823941
0.0,0.0,-2.5653212,1.0863825
0.0,0.0,-2.542002,0.46638736
0.0,0.0,-2.5471365,-0.10269113
0.0,0.0,-2.5620666,-0.29860076
0.0,0.0,-2.597776,-0.7141861
0.0,0.0,-2.640919,-0.8628639
0.0,0.0,-2.7114973,-1.4115655
0.0,0.0,-2.7967315,-1.7046826
0.0,0.0,-2.899855,-2.0624704
0.0,0.0,-3.0174594,-2.3520875
0.0,0.0,-3.1413004,-2.4768224
0.0,0.0,3.016025,-2.517195
0.0,0.0,2.890582,-2.5088587
0.0,0.0,2.7869027,-2.0735888
0.0,0.0,2.7031994,-1.6740677
0.0,0.0,2.6422405,-1.2191757
0.0,0.0,2.5929363,-0.98608494
0.0,0.0,2.5655212,-0.54830337
0.0,0.0,2.5669088,0.027754527
0.0,0.0,2.5975482,0.61278576
0.0,0.0,2.6429334,0.90770465
0.0,0.0,2.714379,1.4289147
0.0,0.0,2.8084393,1.8812033
0.0,0.0,2.9040082,1.9113756
0.0,0.0,3.019381,2.3074596
0.0,0.0,3.1375651,2.3636832
0.0,0.0,-3.0276926,2.35855
0.0,0.0,-2.915576,2.242331
0.0,0.0,-2.8098278,2.1149657
0.0,0.0,-2.7126586,1.9433831
0.0,0.0,-2.6311402,1.6303647
0.0,0.0,-2.5569398,1.4840088
0.0,0.0,-2.499604,1.1467172
0.0,0.0,-2.46768,0.63848203
0.0,0.0,-2.4616568,0.120461
