Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5
0.17775974,0.0,0.0,-7.510003,0.0,0.0
-0.18851724,-0.23285896,0.0,4.6489697,-3.0390244,0.0
-0.90579796,0.0,0.0,0.0,0.0,0.0
-0.056603692,0.025538845,-0.06226306,0.80027735,0.06414628,-1.0247266
-0.015593411,-0.12075908,0.37101772,-3.4420254,-0.25766575,-7.939499
-2.51136,0.0,0.0,0.52883506,0.0,0.0
-0.093241684,-0.13552256,0.109795906,1.7485335,-1.1751633,-1.0029473
-1.9978518,0.0,0.0,7.167777,0.0,0.0
0.33823246,-0.5087735,0.0,-8.260612,-6.1505113,0.0
0.097490504,0.0,0.0,-6.4489503,0.0,0.0
-0.29351145,-0.15262449,0.0,5.392169,-6.165137,0.0
-0.9738466,0.0,0.0,0.0,0.0,0.0
-0.060573667,0.03801447,-0.0661415,0.6961942,-0.44993213,1.1762329
-0.013565385,-0.13215572,0.3486611,1.232126,-2.0858705,-10.537877
-2.656982,0.0,0.0,0.16256356,0.0,0.0
-0.08852702,-0.118911855,0.08433129,1.3422714,-2.1219928,-4.4497137
-2.0383635,0.0,0.0,5.3410473,0.0,0.0
0.43135855,-0.62765783,0.0,-7.552576,-5.605768,0.0
0.008820862,0.0,0.0,-5.3530383,0.0,0.0
-0.38211194,-0.078610405,0.0,4.477698,-6.8614545,0.0
-1.072691,0.0,0.0,0.0,0.0,0.0
-0.019335419,0.06941897,-0.072516955,2.956007,-0.34456018,3.159793
0.022251882,-0.08904594,0.31558058,4.691173,-2.5647087,-1.6119518
-2.7336333,0.0,0.0,0.26837835,0.0,0.0
-0.08435861,-0.061315175,0.031294584,5.0668654,-4.62714,-6.3441496
-2.1204412,0.0,0.0,5.769418,0.0,0.0
0.5166917,-0.73704535,0.0,-7.0983057,-5.2801867,0.0
-0.074096024,0.0,0.0,-4.818204,0.0,0.0
-0.45742923,0.028897822,0.0,8.772745,-0.0020737648,0.0
-1.1146271,0.0,0.0,0.0,0.0,0.0
0.05791737,0.07322046,-0.085046716,-1.0678678,-1.3623521,0.836833
0.05055669,-0.052285183,0.32323602,0.8023784,2.256267,1.5035766
-2.7283146,0.0,0.0,-0.83089197,0.0,0.0
-0.08975565,-0.017109443,0.005554458,0.7128668,-0.04608345,-4.6924825
-2.20093,0.0,0.0,3.8781798,0.0,0.0
0.58801234,-0.81281006,0.0,-3.7514312,-6.317535,0.0
-0.16349362,0.0,0.0,-3.1035166,0.0,0.0
-0.5136424,0.15387706,0.0,8.157117,-1.4327164,0.0
-1.1258885,0.0,0.0,0.0,0.0,0.0
0.16398136,0.03322138,-0.070527464,-1.8642166,1.7635248,-4.153338
0.010948759,-0.08577481,0.3878092,-3.20212,2.3606179,1.9566599
-2.6962337,0.0,0.0,3.2759047,0.0,0.0
-0.060107477,0.02657315,0.0070171086,3.3193946,-1.3639578,-8.183664
-2.2955282,0.0,0.0,2.8367987,0.0,0.0
0.637367,-0.85461915,0.0,-2.6714394,-6.3359857,0.0
-0.25935146,0.0,0.0,-2.9643064,0.0,0.0
-0.55514467,0.26017898,0.0,6.9196925,-0.85639423,0.0
-1.1439207,0.0,0.0,0.0,0.0,0.0
0.22329073,0.020119341,-0.07909995,-0.15698373,-1.9819382,-2.8476086
-0.035872422,-0.13825999,0.39801618,-4.165612,-0.3570881,1.3240999
-2.672272,0.0,0.0,-1.5425787,0.0,0.0
-0.05556671,0.03439806,-0.001633821,-1.2601411,0.19027436,-10.875693
-2.4384015,0.0,0.0,1.449153,0.0,0.0
0.6682664,-0.91842204,0.0,-5.260783,-1.6428733,0.0
-0.31537995,0.0,0.0,-3.7416387,0.0,0.0
-0.60816604,0.33951414,0.0,4.2548013,-6.43809,0.0
-1.2070675,0.0,0.0,0.0,0.0,0.0
0.2781255,0.046103045,-0.09083284,2.9420445,0.45522964,-1.638607
-0.068568036,-0.20046939,0.38716722,-4.039754,-0.8696408,0.9449397
-2.6556134,0.0,0.0,0.14229023,0.0,0.0
-0.06853351,-0.00061497465,-0.03280567,-3.8313775,-4.276412,-12.797129
-2.6176772,0.0,0.0,2.2780104,0.0,0.0
0.6964623,-1.0012834,0.0,-5.6458654,-2.1050367,0.0
-0.34313232,0.0,0.0,-4.124556,0.0,0.0
-0.66753256,0.42899343,0.0,7.0024543,-2.5580244,0.0
-1.2687182,0.0,0.0,0.0,0.0,0.0
0.34616548,0.092003874,-0.092614375,3.024254,0.015711218,1.344027
-0.06230921,-0.2313304,0.3512546,0.049865723,-2.885394,2.1277945
-2.6346467,0.0,0.0,0.85215443,0.0,0.0
-0.06583886,-0.0608525,-0.11474116,-3.4063277,-5.6828427,-5.1701837
-2.775263,0.0,0.0,2.2679074,0.0,0.0
0.7290111,-1.0755503,0.0,-4.2405868,-5.7220907,0.0
-0.40024233,0.0,0.0,-4.921644,0.0,0.0
-0.7348755,0.52426183,0.0,6.223266,-5.904491,0.0
-1.3344847,0.0,0.0,0.0,0.0,0.0
0.34466687,0.06674909,-0.08380052,-2.5723722,0.57606137,1.1368287
-0.05190525,-0.17148319,0.36312124,6.5164766,1.0182812,1.9189683
-2.5981972,0.0,0.0,-0.6322524,0.0,0.0
-0.059785288,-0.1033416,-0.104119554,-2.029418,3.392672,1.142796
-2.7926297,0.0,0.0,3.3620675,0.0,0.0
0.7735473,-1.10804,0.0,-1.4397564,-8.313468,0.0
-0.51122797,0.0,0.0,-3.056259,0.0,0.0
-0.7870538,0.58395225,0.0,3.1630075,-10.366093,0.0
-1.463642,0.0,0.0,0.0,0.0,0.0
0.33390382,0.08916621,-0.0740542,3.6268501,0.69106734,1.593705
-0.029847372,-0.10721436,0.33194005,3.2912564,-4.0724926,-2.129797
-2.600005,0.0,0.0,-0.3360281,0.0,0.0
-0.06550665,-0.08554254,-0.11857175,2.6998882,-3.2487693,0.97988963
-2.7767649,0.0,0.0,1.4062041,0.0,0.0
0.80977404,-1.1457062,0.0,-2.8617547,-6.3811407,0.0
-0.62002105,0.0,0.0,-6.23,0.0,0.0
-0.85907817,0.6648791,0.0,7.3766136,-5.8725376,0.0
-1.5965507,0.0,0.0,0.0,0.0,0.0
0.34634033,0.13223082,-0.08988644,2.5045714,-2.1987653,2.4384027
0.0030771531,-0.07572091,0.27178854,0.674865,-4.4953074,0.45035958
-2.612773,0.0,0.0,-1.5487225,0.0,0.0
-0.084092066,-0.10895422,-0.14133213,-4.1970415,-0.6019032,1.4252523
-2.7567763,0.0,0.0,0.04911387,0.0,0.0
0.8188951,-1.1810913,0.0,-2.0360706,-5.2521873,0.0
-0.7067259,0.0,0.0,-7.4165606,0.0,0.0
-0.961768,0.78137964,0.0,7.768892,-0.14999199,0.0
-1.6324322,0.0,0.0,0.0,0.0,0.0
0.34220213,0.18644325,-0.10944081,2.9990644,-0.43151093,0.7359953
0.02759276,-0.04770674,0.14984575,2.6184583,-10.267616,1.349491
-2.6017852,0.0,0.0,-0.30160546,0.0,0.0
