Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5,Node 1 - Component 0,Node 1 - Component 1,Node 1 - Component 2,Node 1 - Component 3,Node 1 - Component 4,Node 1 - Component 5,Node 2 - Component 0,Node 2 - Component 1,Node 2 - Component 2,Node 2 - Component 3,Node 2 - Component 4,Node 2 - Component 5,Node 3 - Component 0,Node 3 - Component 1,Node 3 - Component 2,Node 3 - Component 3,Node 3 - Component 4,Node 3 - Component 5,Node 4 - Component 0,Node 4 - Component 1,Node 4 - Component 2,Node 4 - Component 3,Node 4 - Component 4,Node 4 - Component 5,Node 5 - Component 0,Node 5 - Component 1,Node 5 - Component 2,Node 5 - Component 3,Node 5 - Component 4,Node 5 - Component 5,Node 6 - Component 0,Node 6 - Component 1,Node 6 - Component 2,Node 6 - Component 3,Node 6 - Component 4,Node 6 - Component 5,Node 7 - Component 0,Node 7 - Component 1,Node 7 - Component 2,Node 7 - Component 3,Node 7 - Component 4,Node 7 - Component 5,Node 8 - Component 0,Node 8 - Component 1,Node 8 - Component 2,Node 8 - Component 3,Node 8 - Component 4,Node 8 - Component 5
-0.003387729,-0.13136388,0.06889155,-3.182872,-0.33403063,-0.33787742,0.10539137,-0.49336025,-0.096915446,-3.2019637,-1.2371061,-5.691175,-0.6171488,0.0,0.0,-1.521992,0.0,0.0,-0.09786856,0.35319844,-0.18808478,-2.5041385,-3.3484697,-8.258803,-0.818592,0.0,0.0,0.31482685,0.0,0.0,0.04249885,-0.26115742,0.0,-3.5271225,3.852966,0.0,0.53254896,0.0,0.0,-1.5098352,0.0,0.0,-0.38995716,-0.0790967,0.0,0.010717111,3.1604373,0.0,0.339943,0.0,0.0,0.0,0.0,0.0
0.01397158,-0.16424192,0.09125079,-1.5069773,2.6325686,-0.30036932,0.10044491,-0.4591742,-0.12927775,4.837579,-2.943135,-5.338155,-0.69091415,0.0,0.0,1.1641603,0.0,0.0,-0.09521199,0.34442458,-0.22362323,0.8898078,-1.704102,-5.0422516,-0.91475964,0.0,0.0,1.9431863,0.0,0.0,0.061609898,-0.30000395,0.0,-1.5766602,4.09995,0.0,0.5918668,0.0,0.0,0.9446172,0.0,0.0,-0.3930269,-0.06344661,0.0,1.9399246,4.1434965,0.0,0.39546326,0.0,0.0,0.0,0.0,0.0
-0.015869377,-0.17455444,0.13791294,0.1937491,3.2223248,-3.3985538,0.06703609,-0.44946983,-0.17723961,-1.9647392,-3.5618896,-8.834299,-0.80103534,0.0,0.0,3.0888128,0.0,0.0,-0.06063885,0.30362356,-0.23272014,-5.0265145,0.17661719,-6.2794695,-0.9980704,0.0,0.0,0.09284093,0.0,0.0,0.07610586,-0.33946013,0.0,-3.220687,4.180119,0.0,0.65537184,0.0,0.0,-0.60349315,0.0,0.0,-0.39204395,-0.037875205,0.0,1.7595152,3.435667,0.0,0.44997638,0.0,0.0,0.0,0.0,0.0
0.0077244644,-0.20055293,0.1295788,-2.531407,-2.837814,0.3209249,0.047307145,-0.5480209,-0.15263745,-8.213002,4.5040894,-0.23405439,-0.84553003,0.0,0.0,-2.396518,0.0,0.0,-0.062104743,0.30928734,-0.22599661,2.8290803,0.8435627,-6.8431864,-1.1019462,0.0,0.0,0.17048332,0.0,0.0,0.07618499,-0.36418524,0.0,-0.83696777,3.314849,0.0,0.70956963,0.0,0.0,-1.677532,0.0,0.0,-0.4085437,-0.011367078,0.0,1.698998,2.485623,0.0,0.49535552,0.0,0.0,0.0,0.0,0.0
0.027699176,-0.23193389,0.124307595,-1.2515023,0.85799575,-0.9753407,0.037858915,-0.57386154,-0.083555445,1.4766233,4.6163287,-1.0594245,-0.8595112,0.0,0.0,-0.20070289,0.0,0.0,-0.07343794,0.27862322,-0.13591285,-4.272394,9.355285,6.9887514,-1.0914712,0.0,0.0,2.9827552,0.0,0.0,0.1029575,-0.3484013,0.0,2.446686,2.7253058,0.0,0.7531026,0.0,0.0,0.20799278,0.0,0.0,-0.41607547,0.043118317,0.0,5.5387,2.0308402,0.0,0.529834,0.0,0.0,0.0,0.0,0.0
0.037640963,-0.21452878,0.14427006,2.6119745,1.7345977,-1.1762788,0.022753581,-0.5685677,-0.051676825,-0.2022375,0.63274884,-3.8679044,-0.9002439,0.0,0.0,2.0686765,0.0,0.0,-0.058941286,0.26937297,-0.030369444,1.8545408,5.612265,7.6430244,-0.9797869,0.0,0.0,1.4386741,0.0,0.0,0.13634266,-0.34058315,0.0,-0.70661336,1.9421494,0.0,0.7888581,0.0,0.0,-2.2008867,0.0,0.0,-0.43401214,0.118937366,0.0,4.372182,2.4084582,0.0,0.56227696,0.0,0.0,0.0,0.0,0.0
0.042367857,-0.096219264,0.1582953,9.324739,0.50379735,5.3988733,0.082151756,-0.5158178,-0.19312383,4.738778,-14.139833,-12.452124,-1.036601,0.0,0.0,-2.758944,0.0,0.0,-0.07923643,0.24469185,-0.09372049,-3.3778667,-9.529968,-6.0808992,-0.9896876,0.0,0.0,-0.9896648,0.0,0.0,0.1426333,-0.3639869,0.0,-1.3183062,2.8636868,0.0,0.82627463,0.0,0.0,-0.97143656,0.0,0.0,-0.46278644,0.20383587,0.0,5.5513473,3.0411315,0.0,0.6049674,0.0,0.0,0.0,0.0,0.0
0.10453051,-0.077837996,0.14614472,-3.35309,-1.701526,0.454445,0.11282386,-0.55605865,-0.2816631,-5.772623,-1.3912647,-6.518995,-1.1672354,0.0,0.0,-3.237822,0.0,0.0,-0.12158744,0.24420805,-0.19799602,0.96856177,-6.024079,-12.7265005,-1.1337005,0.0,0.0,-1.9623739,0.0,0.0,0.116309136,-0.32593867,0.0,4.7574124,2.8796175,0.0,0.8677133,0.0,0.0,1.3218082,0.0,0.0,-0.45599073,0.23992865,0.0,0.32451445,3.1788638,0.0,0.65211684,0.0,0.0,0.0,0.0,0.0
0.16011138,-0.1109274,0.16622782,-1.5808972,3.3451648,-2.6623495,0.090290874,-0.6283715,-0.3354403,-4.4738774,-5.1348057,-9.967282,-1.2969493,0.0,0.0,1.6873931,0.0,0.0,-0.12490157,0.2620221,-0.2894137,1.4511328,-6.165382,-10.016347,-1.3009403,0.0,0.0,-0.66088855,0.0,0.0,0.098338865,-0.28041565,0.0,1.9718084,0.72597784,0.0,0.89877343,0.0,0.0,2.9771445,0.0,0.0,-0.4232661,0.24063085,0.0,-0.032120787,0.913468,0.0,0.68092865,0.0,0.0,0.0,0.0,0.0
0.17292814,-0.1009275,0.20718087,0.81920373,3.0266328,0.41320148,0.09375538,-0.673403,-0.47118443,-2.7082944,-10.542152,-9.491131,-1.442824,0.0,0.0,1.0252191,0.0,0.0,-0.11703498,0.26546118,-0.42956293,-0.110589415,-10.473315,-12.969532,-1.4800841,0.0,0.0,-2.050363,0.0,0.0,0.076636486,-0.30101472,0.0,-3.5970674,-0.3295926,0.0,0.8999944,0.0,0.0,1.0142692,0.0,0.0,-0.39809853,0.22622028,0.0,-2.2061958,1.5156208,0.0,0.6986504,0.0,0.0,0.0,0.0,0.0
