Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5,Node 1 - Component 0,Node 1 - Component 1,Node 1 - Component 2,Node 1 - Component 3,Node 1 - Component 4,Node 1 - Component 5,Node 2 - Component 0,Node 2 - Component 1,Node 2 - Component 2,Node 2 - Component 3,Node 2 - Component 4,Node 2 - Component 5,Node 3 - Component 0,Node 3 - Component 1,Node 3 - Component 2,Node 3 - Component 3,Node 3 - Component 4,Node 3 - Component 5,Node 4 - Component 0,Node 4 - Component 1,Node 4 - Component 2,Node 4 - Component 3,Node 4 - Component 4,Node 4 - Component 5,Node 5 - Component 0,Node 5 - Component 1,Node 5 - Component 2,Node 5 - Component 3,Node 5 - Component 4,Node 5 - Component 5,Node 6 - Component 0,Node 6 - Component 1,Node 6 - Component 2,Node 6 - Component 3,Node 6 - Component 4,Node 6 - Component 5,Node 7 - Component 0,Node 7 - Component 1,Node 7 - Component 2,Node 7 - Component 3,Node 7 - Component 4,Node 7 - Component 5,Node 8 - Component 0,Node 8 - Component 1,Node 8 - Component 2,Node 8 - Component 3,Node 8 - Component 4,Node 8 - Component 5,Global 0,Global 1,Global 2,Global 3,Global 4,Global 5,Global 6,Global 7,Global 8,Global 9,Global 10,Global 11
-0.03349071,-0.31620213,0.00868634,-4.0240383,-0.7223359,0.0072610104,0.10991378,-0.10016842,0.10356831,-2.8967288,3.462108,-4.3451395,-0.9641732,0.0,0.0,-0.7770361,0.0,0.0,-0.04831049,0.23524119,0.05286506,1.686514,4.92252,-10.172164,-1.6394378,0.0,0.0,-1.1228819,0.0,0.0,0.041755404,0.16338809,0.0,-1.5333503,3.4100115,0.0,-0.234552,0.0,0.0,0.23082161,0.0,0.0,0.14352971,-0.4229812,0.0,-5.180556,-2.7375185,0.0,-0.17906667,0.0,0.0,0.0,0.0,0.0,1.2267565,0.99888676,-0.04600178,-0.008015966,0.0066959434,-0.36349574,0.19218096,-2.2476358,-0.66474456,0.28454652,1.6579713,-1.8694283
-0.071107246,-0.35402998,0.036209714,-1.5849088,3.5431945,-0.39543492,0.10602203,-0.08916632,0.1131854,2.6200035,-1.1099381,-12.570084,-1.1003233,0.0,0.0,3.4966538,0.0,0.0,-0.022875587,0.2582127,0.12411721,1.8487262,4.7816696,-8.306198,-1.7759447,0.0,0.0,1.8688997,0.0,0.0,0.051067248,0.15808955,0.0,0.67679155,0.57688123,0.0,-0.20743836,0.0,0.0,2.5568943,0.0,0.0,0.1652693,-0.47718856,0.0,-2.510581,-0.072180346,0.0,-0.19724397,0.0,0.0,0.0,0.0,0.0,1.1913936,0.9984303,-0.05406792,-0.009575057,0.0110422475,-0.31933483,0.114943795,-2.480157,-1.4058602,-0.5433303,-0.25094014,-2.552592
-0.1182696,-0.3953872,0.056306712,-2.7278848,-0.5903299,-0.3041817,0.10068847,-0.070898175,0.15393758,0.28882486,4.9990053,-7.283488,-1.2423047,0.0,0.0,4.6113706,0.0,0.0,0.03900311,0.2853506,0.26148108,1.4552741,12.10884,-5.866127,-1.8794405,0.0,0.0,-0.522206,0.0,0.0,0.05639662,0.1627505,0.0,-0.11924244,2.2550194,0.0,-0.1847908,0.0,0.0,-2.9120977,0.0,0.0,0.16205196,-0.5237763,0.0,-3.1604488,-4.2304244,0.0,-0.23365077,0.0,0.0,0.0,0.0,0.0,1.1521788,0.9980171,-0.058451686,-0.017696455,0.015237257,-0.48151562,0.13748512,-2.72544,0.07701252,-1.9831163,1.0084261,-3.3924618
-0.13694416,-0.44153422,0.05907819,0.21511716,1.314176,-1.1690613,0.090419844,-0.06857313,0.25794852,-0.23187771,4.540366,-2.5375986,-1.3041968,0.0,0.0,2.7400339,0.0,0.0,0.11410959,0.30306837,0.44589856,1.4850538,6.3693833,-6.8977394,-1.9573638,0.0,0.0,1.8101276,0.0,0.0,0.059643168,0.18736088,0.0,1.6408155,-0.3465417,0.0,-0.17866498,0.0,0.0,0.1810975,0.0,0.0,0.15330964,-0.54983944,0.0,-0.10896963,-3.3673205,0.0,-0.29239744,0.0,0.0,0.0,0.0,0.0,1.110121,0.9975261,-0.06051654,-0.032807574,0.014250703,-0.3615939,0.0326448,-2.6773708,-1.0063149,-2.6077695,-0.92646194,0.99330974
-0.1559744,-0.39272743,0.10573356,4.774604,4.3040605,-3.450748,0.05484005,-0.054888207,0.28116226,1.3383434,0.15994008,-3.629246,-1.3569202,0.0,0.0,-0.16645308,0.0,0.0,0.12850145,0.3049119,0.47689524,-0.4574346,-0.65256834,-5.5443068,-2.052315,0.0,0.0,2.347032,0.0,0.0,0.09385434,0.18306442,0.0,-1.3223312,2.457432,0.0,-0.15920271,0.0,0.0,-4.294836,0.0,0.0,0.11447543,-0.554051,0.0,-0.5965134,-1.7981676,0.0,-0.3305555,0.0,0.0,0.0,0.0,0.0,1.0719149,0.99577755,-0.07031121,-0.056789733,0.016074393,-0.12038127,0.015835771,-2.4909286,-1.6252025,-3.3521516,0.8844031,-2.5720031
-0.1411325,-0.30210048,0.13874002,6.8440313,0.843859,-2.8433423,0.0074924883,-0.075729184,0.27903408,-2.898287,-0.2114038,1.8266455,-1.3674144,0.0,0.0,-1.6632174,0.0,0.0,0.11187936,0.32472515,0.43126598,1.802232,-4.837193,-7.587786,-2.155058,0.0,0.0,4.369185,0.0,0.0,0.14904483,0.16941074,0.0,-0.7533298,0.48062798,0.0,-0.14016475,0.0,0.0,-3.5337958,0.0,0.0,0.056954812,-0.5361063,0.0,2.3317432,2.571158,0.0,-0.32003087,0.0,0.0,0.0,0.0,0.0,1.0357506,0.9930636,-0.07940853,-0.08469059,0.018612292,0.014275579,-0.03887707,-2.3666751,-0.84347683,-3.9501739,-0.239403,2.9393196
-0.10366322,-0.26128,0.13457172,-0.5695889,-1.1304694,0.04789831,-0.009201051,-0.11943533,0.28767374,-3.1230462,0.45470694,-6.8788867,-1.3976682,0.0,0.0,-2.0625234,0.0,0.0,0.08271378,0.35880622,0.38485473,2.6358035,-1.843077,-10.125086,-2.2882817,0.0,0.0,-1.4470475,0.0,0.0,0.1650561,0.17342749,0.0,1.190721,3.168292,0.0,-0.109925106,0.0,0.0,-2.4063814,0.0,0.0,0.014416366,-0.54452276,0.0,-2.7738256,-2.711136,0.0,-0.32527438,0.0,0.0,0.0,0.0,0.0,0.99649936,0.99122787,-0.082220934,-0.10036606,0.025172137,-0.26653755,0.009427455,-2.8195906,0.01325199,-0.7358211,1.4668864,2.2324991
-0.08217256,-0.227541,0.10078477,3.2948096,-2.8637686,4.0298457,0.031717725,-0.14226556,0.21205014,-0.8798348,-8.126545,-12.035475,-1.5501615,0.0,0.0,-7.2359366,0.0,0.0,0.00031527816,0.38451806,0.27854565,1.2246217,-10.685318,-13.602479,-2.469219,0.0,0.0,-1.7695411,0.0,0.0,0.1454839,0.19103341,0.0,1.6083871,0.9903456,0.0,-0.079279535,0.0,0.0,-1.8068852,0.0,0.0,-0.0221546,-0.5676054,0.0,-1.0596203,0.36166024,0.0,-0.33909002,0.0,0.0,0.0,0.0,0.0,0.9560097,0.9903553,-0.08082701,-0.105734445,0.038517848,-0.07897074,-0.016248122,-2.6649613,0.63341093,-0.50229484,2.006725,1.0410619
-0.092471614,-0.2190801,0.09270112,-0.8407158,0.63514364,-3.6319673,0.020211633,-0.16315773,0.11492604,-1.9489211,-5.9270034,-14.299928,-1.749461,0.0,0.0,2.3359253,0.0,0.0,-0.019929195,0.3688801,0.16988781,-2.879259,-5.030744,-14.970697,-2.6805406,0.0,0.0,-5.251418,0.0,0.0,0.08824092,0.22217335,0.0,2.2476022,2.9144862,0.0,-0.048499133,0.0,0.0,0.6875326,0.0,0.0,-0.027081449,-0.6035818,0.0,-3.0099533,-1.0797818,0.0,-0.34741825,0.0,0.0,0.0,0.0,0.0,0.913082,0.9905049,-0.07640996,-0.098455,0.058035947,-0.1550667,-0.053973906,-3.0046275,1.192585,1.4651288,2.9933891,-1.6684873
-0.10375789,-0.18810047,0.10121702,4.1325164,0.68432504,0.09198991,-0.0018323472,-0.17507207,0.020570848,-0.052746337,-6.0700316,-11.236125,-1.942342,0.0,0.0,-0.45815408,0.0,0.0,-0.010372313,0.3207538,0.084671944,-2.8130744,-5.9519663,-3.1768165,-2.820834,0.0,0.0,2.1947289,0.0,0.0,0.06985713,0.251919,0.0,1.7109513,0.6089068,0.0,-0.024837887,0.0,0.0,2.5357835,0.0,0.0,-0.002781638,-0.605305,0.0,2.1073809,1.4859704,0.0,-0.34086445,0.0,0.0,0.0,0.0,0.0,0.8693474,0.9899764,-0.07286632,-0.09938739,0.06898854,0.06746926,-0.12569927,-2.8493228,-0.0071070823,-1.651283,0.06864646,-0.12812962
