Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Node 2 - Component 0,Node 2 - Component 1,Node 3 - Component 0,Node 3 - Component 1
-0.3041582,-1.9915223,0.76394653,2.120866,-1.137033,-3.3129337,-0.26824442,0.51605815
-0.22521925,-1.7191767,0.64527494,1.8306583,-1.1350896,-2.6304693,-0.28528434,-0.40085214
-0.15548661,-1.5384123,0.548662,1.6577773,-1.1631916,-2.2067342,-0.2999399,-0.98445904
-0.0920087,-1.4952782,0.4576845,1.5284557,-1.182031,-2.3467782,-0.11115716,0.0026131088
-0.05311933,-0.41447687,0.40384662,0.4450448,-1.2089034,-0.38774067,-0.25641233,-1.3255826
-0.037619516,-0.35913572,0.38692057,0.3327563,-1.2457612,-0.45604616,-0.14929222,-0.54591817
-0.009440949,-1.0936996,0.3412626,1.060999,-1.2470464,-1.8038394,0.0034913043,0.47478822
0.014920594,-0.29762498,0.2940951,0.17759529,-1.2253445,-0.5819081,0.015517048,0.6076457
0.0361288,-0.8783625,0.2544833,0.8671828,-1.2129383,-1.379362,-0.0455913,0.017707387
0.08147694,-1.3348404,0.18437111,1.3771176,-1.2130378,-2.0958679,-0.007372528,-0.0170664
0.12523066,-0.79957706,0.11931587,0.83269256,-1.2228225,-1.1887139,-0.08250917,-0.46664852
0.14436853,-0.11304893,0.09588297,0.13721742,-1.2545078,-0.002931198,-0.2254338,-1.1081071
0.16539282,-0.8109488,0.07219996,0.89761734,-1.293126,-1.1602526,-0.11755023,-0.82007307
0.18630815,-0.18701224,0.04432313,0.16482474,-1.3155013,-0.25137162,-0.12149134,-0.3198769
0.21269771,-1.1454564,-0.00096522324,1.1278546,-1.3035067,-1.9719166,0.16591148,0.91182315
0.27153513,-1.8075763,-0.10672003,1.771992,-1.2407384,-3.2521825,0.45588812,2.2146263
0.35263723,-2.2399614,-0.25607696,2.233677,-1.1350703,-4.1403713,0.68336475,3.0487304
0.45482937,-2.7686741,-0.44987205,2.7845905,-0.9784954,-5.409296,1.0269414,4.7164254
0.54326516,-1.8357855,-0.63365996,1.7377932,-0.79635334,-3.9352105,0.7078545,4.432546
0.5987319,-1.2166904,-0.7661181,1.0911498,-0.6402842,-2.7767818,0.40055665,3.425485
0.6323138,-0.7898519,-0.8595563,0.61697567,-0.517529,-1.9430254,0.17717534,2.7453413
0.6583635,-0.8650831,-0.94412047,0.668248,-0.39384773,-2.2528768,0.16338533,3.4004416
0.6884411,-0.8737996,-1.0302843,0.84805965,-0.28229368,-2.0814567,0.1739525,2.2268949
0.7199546,-0.7102137,-1.1039118,0.7407575,-0.21113767,-1.6252129,0.12930863,1.3587873
0.7628793,-1.2241328,-1.2014571,1.341778,-0.1128012,-3.131766,0.30927658,3.435045
0.8030856,-0.7280824,-1.3026611,0.7099924,0.0046632374,-2.0051267,0.058594193,2.5079525
